ID,NAME,ORGRANIZATION AND PROGRAM NAME,ADDRESS,BOROUGH,ZIP,DISPLAY PHYSICAL ADDRESS,PHONE,FAX,TTY,WEBSITE,HOTLINE PHONE,HOTLINE HOURS,HOTLINE HOURS (OTHER),PROGRAM HOURS,PROGRAM HOURS (OTHER),BOROUGHS SERVED,LANGUAGE INTERPRETATION SVCS,LANGUAGE SVCS,LANGUAGE (OTHER),WHEELCHAIR ACCESS,FEE SVC,SPECIALIZED SVCS,OTHER SPECIALIZED SVCS,SVCS PROVIDED,OTHER SVCS PROVIDED,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BIN,BBL,NTA
bf317014-0959-488e-8185-3ae0173000b5,YWCA Brooklyn,YWCA Brooklyn,30 Third Avenue,Brooklyn,11217,Yes,1-718-875-1190,1-718-858-5731,,,,,,Mon - Fri: 9:00 AM - 5:00 PM,,Brooklyn,Yes,English,,Yes,No,Survivors of Sexual Assault and DV;Immigrants;Trafficking Survivors;Teenagers,,Community Education;English as a Second Language Classes;Healing Arts/Theatre Programs;Shelter Assistance/Housing Assistance,,40.68581,-73.980385,2,33,39,3000753,3001797503,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
a670473c-69b4-4b06-9d3f-d2a67995fb3f,Working in Support of Education - MoneyW!SE,Working in Support of Education - MoneyW!SE,"227 East 56th Street, Suite 201",Manhattan,10022,Yes,1-212-421-2700,1-212-980-5053,,http://www.wise-ny.org,,,,Other,Mon - Fri: 9:00 AM - 5:30 PM,Brooklyn;Bronx;Manhattan;Queens;Staten Island,Yes,English;Spanish,,Yes,No,Survivors of Sexual Assault and DV,,Community Education,,40.759268,-73.967268,6,4,108,1038592,1013300011,Turtle Bay-East Midtown
2f7e1399-c627-46fe-ac58-1f912064eb27,Urban Resource Institute,Urban Resource Institute,"75 Broad Street, Suite 505",Manhattan,10004,Yes,1-646-588-0030,1-646-799-7233,,https://www.urinyc.org,1-800-799-7233,24/7,,24/7,,Brooklyn;Bronx;Manhattan;Queens;Staten Island,Yes,English;French;Haitian Creole;Korean;Spanish;Urdu,,Yes,No,Survivors of Sexual Assault and DV,,Community Education;Crisis Counseling;General Domestic Violence Services;Emergency Assistance/Transportation;Healing Arts/Theatre Programs;Job Training;Long Term Counseling;Public Assistance;Services for Stalking Survivors;Shelter Assistance/Housing Assistance,,40.704487,-74.011556,1,1,9,1000849,1000290070,Battery Park City-Lower Manhattan
4c65b30e-5249-4fcb-b256-092fd760c55b,"Urban Neighborhood Services, Inc.","Urban Neighborhood Services, Inc.",1718 Mermaid Avenue,Brooklyn,11224,Yes,1-347-374-2455,1-347-312-2360,,https://www.uns-inc.org,,Other,,Other,Mon - Thurs: 9:00 AM - 5:00 PM; Fri: 9:00 AM - 2:00 PM,Brooklyn;Bronx;Manhattan;Queens;Staten Island,Yes,English;Haitian Creole;Spanish,,Yes,No,Survivors of Sexual Assault and DV;People with HIV/AIDS;Elder Abuse Survivors;Survivors of Teen Dating Violence;Teenagers,,Civil Legal Services;Community Education;Crisis Counseling;General Domestic Violence Services;Elder Abuse Services;English as a Second Language Classes;Health Services;HIV/AIDS Support Services;Public Assistance;Teen Dating Survivor Services;Shelter Assistance/Housing Assistance,,40.576593,-73.984996,13,47,326,3189575,3070610005,Seagate-Coney Island
d16a9ebe-2974-459d-bb3e-b070f8209046,Urban Justice Center - Domestic Violence Project - Staten Island Office,Urban Justice Center - Domestic Violence Project  - Staten Island Office,"Family Justice Center, 126 Stuyvesant Place",Staten Island,10301,Yes,1-718-875-5062,1-212-533-4598,,https://dvp.urbanjustice.org/,1-718-875-5062,Mon - Fri: 9:00 AM - 5:00 PM,,Mon - Fri: 9:00 AM - 5:00 PM,,Staten Island,Yes,Arabic;English;French;Hindi;Russian;Spanish,,Yes,No,Survivors of Sexual Assault and DV;LGBTQ;Men;Trafficking Survivors;Stalking Survivors;People with Disabilities,,Civil Legal Services;Community Education;General Domestic Violence Services;Public Assistance;Services for Stalking Survivors;Trafficking Victim Services,,,,,,,,,
c82f8fc0-6032-4e82-93e7-d2725d670a14,Urban Justice Center - Domestic Violence Project - Queens Office,Urban Justice Center - Domestic Violence Project - Queens Office,"Family Justice Center, 126-02 82 Avenue",Queens,11415,Yes,1-718-875-5062,1-212-533-4598,,https://dvp.urbanjustice.org/,1-718-875-5062,Mon - Fri: 9:00 AM - 5:00 PM,,Mon - Fri: 9:00 AM - 5:00 PM,,Queens,Yes,Arabic;English;French;Hindi;Russian;Spanish,,Yes,No,Survivors of Sexual Assault and DV;LGBTQ;Men;Immigrants;Trafficking Survivors;Stalking Survivors;People with Disabilities,,Civil Legal Services;Community Education;General Domestic Violence Services;Public Assistance;Services for Stalking Survivors;Trafficking Victim Services,,,,,,,,,
e6ef2cdd-3d8c-40f8-92bf-9c68a6cd7a63,Urban Justice Center - Domestic Violence Project - Manhattan Office,Urban Justice Center - Domestic Violence Project  - Manhattan Office,"Family Justice Center, 80 Centre Street, 5 Floor",Manhattan,10006,Yes,1-718-875-5062,1-212-533-4598,,https://dvp.urbanjustice.org/,1-718-875-5062,Mon - Fri: 9:00 AM - 5:00 PM,,Mon - Fri: 9:00 AM - 5:00 PM,,Manhattan,Yes,Arabic;English;French;Hindi;Russian;Spanish,,Yes,No,Survivors of Sexual Assault and DV;LGBTQ;Men;Immigrants;Trafficking Survivors;Stalking Survivors;People with Disabilities,,Civil Legal Services;Community Education;General Domestic Violence Services;Public Assistance;Services for Stalking Survivors;Trafficking Victim Services,,,,,,,,,
e061ba20-e1f5-4b57-a99e-d36ffef30ae3,Urban Justice Center - Domestic Violence Project - Bronx Office,Urban Justice Center - Domestic Violence Project - Bronx Office,"Family Justice Center, 198 East 161 Street, 2 Floor",Bronx,10451,Yes,1-718-875-5062,1-212-533-4598,,https://dvp.urbanjustice.org/,1-718-875-5062,Mon - Fri: 9:00 AM - 5:00 PM,,Mon - Fri: 9:00 AM - 5:00 PM,,Bronx,Yes,Arabic;English;French;Hindi;Russian;Spanish,,Yes,No,Survivors of Sexual Assault and DV;LGBTQ;Men;Immigrants;Trafficking Survivors;Stalking Survivors;People with Disabilities,,Civil Legal Services;Community Education;General Domestic Violence Services;Public Assistance;Services for Stalking Survivors;Trafficking Victim Services,,,,,,,,,
bf3f7293-a5d6-4ea2-add0-1b436ab4fe3d,Urban Justice Center - Domestic Violence Project  - Brooklyn Office,Urban Justice Center - Domestic Violence Project  - Brooklyn Office,"Family Justice Center, 350 Jay Street, 15 Floor",Brooklyn,11201,Yes,1-718-875-5062,1-212-533-4598,,https://dvp.urbanjustice.org/,1-718-875-5062,Mon - Fri: 9:00 AM - 5:00 PM,,Mon - Fri: 9:00 AM - 5:00 PM,,Brooklyn,Yes,Arabic;English;French;Hindi;Russian;Spanish,,Yes,No,Survivors of Sexual Assault and DV;LGBTQ;Men;Immigrants;Trafficking Survivors;Stalking Survivors;People with Disabilities,,Civil Legal Services;Community Education;General Domestic Violence Services;Public Assistance;Services for Stalking Survivors;Trafficking Victim Services,,,,,,,,,
adbe7077-c6b8-4996-8d7a-f10c610be3a2,TOP Community Development Corporation,TOP Community Development Corporation,1274 Utica Avenue,Brooklyn,11203,Yes,1-866-451-3683,1-718-451-5524,,https://www.topcommunitydevelopment.org,,,,Mon - Fri: 9:00 AM - 5:00 PM,,Brooklyn,Yes,English;Spanish,,Yes,No,Child Witnesses to DV;People with HIV/AIDS;Elder Abuse Survivors;Survivors of Teen Dating Violence;Teenagers,,Community Education;Crisis Counseling;General Domestic Violence Services;Emergency Assistance/Transportation,,40.641355,-73.929282,17,45,840,3106175,3047800015,East Flatbush-Farragut
