ID,Precinct,ORGRANIZATION AND PROGRAM NAME,ADDRESS,BOROUGH,ZIP,DISPLAY PHYSICAL ADDRESS,PHONE,FAX,TTY,WEBSITE,HOTLINE PHONE,HOTLINE HOURS,HOTLINE HOURS (OTHER),PROGRAM HOURS,PROGRAM HOURS (OTHER),BOROUGHS SERVED,LANGUAGE INTERPRETATION SVCS,1stLANGUAGE,2ndLANGUAGE,3rdLANGUAGE,4th LANGUAGE,5thLANGUAGE,LanguageServices,WHEELCHAIR ACCESS,FEE SVC,SPECIALIZED SVCS,OTHER SPECIALIZED SVCS,SVCS PROVIDED,OTHER SVCS PROVIDED,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BIN,BBL,NTA
68d9b44c-b355-456e-826f-8e57e4db6dba,"100th Precinct, Domestic Violence Unit, New York City Police Department","100th Precinct, Domestic Violence Unit, New York City Police Department",92-24 Rockaway Beach Boulevard,Queens,11693,Yes,1-718-318-4251,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Queens,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.586316,-73.815808,14,32,94202,4445329,4161270001,Hammels-Arverne-Edgemere
e2b3c74f-787c-4716-8e52-f058132373e8,"101st Precinct, Domestic Violence Unit, New York City Police Department","101st Precinct, Domestic Violence Unit, New York City Police Department",16-12 Mott Avenue,Queens,11691,Yes,1-718-868-3444,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Queens,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.602862,-73.750278,14,31,103202,4298231,4155570004,Far Rockaway-Bayswater
1d4ed9fc-978f-464e-b110-1a426f557651,"103rd Precinct, Domestic Violence Unit, New York City Police Department","103rd Precinct, Domestic Violence Unit, New York City Police Department",168-02 Edward Byrne Avenue,Queens,11432,Yes,1-718-657-8954,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Queens,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.70724,-73.792704,12,27,460,4209646,4097990027,Jamaica
7cb49aa1-9261-4c3d-b87b-474d481988aa,"105th Precinct, Domestic Violence Unit, New York City Police Department","105th Precinct, Domestic Violence Unit, New York City Police Department",92-08 222 Street,Queens,11428,Yes,1-718-776-9415,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Queens,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.726329,-73.734788,13,23,560,4230132,4107370001,Queens Village
21186b7a-0c52-4ed8-b374-58857c8f3f89,"107th Precinct, Domestic Violence Unit, New York City Police Department","107th Precinct, Domestic Violence Unit, New York City Police Department",71-01 Parsons Boulevard,Queens,11365,Yes,1-718-969-9097,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Queens,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.7301,-73.810908,8,24,122701,4445325,4067970040,Pomonok-Flushing Heights-Hillcrest
acfb05b6-f6c9-4d01-a966-0ac839d9321c,"108th Precinct, Domestic Violence Unit, New York City Police Department","108th Precinct, Domestic Violence Unit, New York City Police Department",5-47 50 Avenue,Queens,11105,Yes,1-718-784-5448,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Queens,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.743117,-73.956067,2,26,7,4000126,4000320006,Hunters Point-Sunnyside-West Maspeth
025f4d1b-0bac-4e9a-8bc1-02d7ca212563,"110th Precinct, Domestic Violence Unit, New York City Police Department","110th Precinct, Domestic Violence Unit, New York City Police Department",94-41 43 Avenue,Queens,11373,Yes,1-718-476-9321,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Queens,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.745036,-73.870004,4,21,465,4445296,4015920072,Elmhurst
36afc695-0891-4e7b-abcd-68b73e6130de,"120th Precinct, Domestic Violence Unit, New York City Police Department","120th Precinct, Domestic Violence Unit, New York City Police Department",78 Richmond Terrace,Staten Island,10301,Yes,1-718-876-8515,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Staten Island,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.644691,-74.077038,1,49,7,5106476,5000090028,West New Brighton-New Brighton-St. George
c13472fa-4c77-4bd1-a19b-f1ad68a3b21b,"123rd Precinct, Domestic Violence Unit, New York City Police Department","123rd Precinct, Domestic Violence Unit, New York City Police Department",116 Main Street,Staten Island,10307,Yes,1-718-948-5970,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Staten Island,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.512,-74.249725,3,51,248,5088926,5080280056,Charleston-Richmond Valley-Tottenville
5119566b-cb9b-4a63-bd8b-c6f150fbd09c,"19th Precinct, Domestic Violence Unit, New York City Police Department","19th Precinct, Domestic Violence Unit, New York City Police Department",153 East 67 Street,Manhattan,10065,Yes,1-212-452-0663,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Manhattan,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.766988,-73.963921,8,4,120,1042471,1014020025,Upper East Side-Carnegie Hill
36ae103c-86c4-4229-8ecf-be4d25f700b1,"23rd Precinct, Domestic Violence Unit, New York City Police Department","23rd Precinct, Domestic Violence Unit, New York City Police Department",162 East 102 Street,Manhattan,10029,Yes,1-212-860-6435,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Manhattan,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.789455,-73.947633,11,8,166,1051851,1016290047,East Harlem South
dddc6c2d-756d-4013-843b-7be00c172d43,"26th Precinct, Domestic Violence Unit, New York City Police Department","26th Precinct, Domestic Violence Unit, New York City Police Department",520 West 126 Street,Manhattan,10027,Yes,1-212-678-1342,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Manhattan,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.814796,-73.956283,9,7,219,1076682,1019820038,Manhattanville
0b981200-6d9d-4ff3-ad83-ea376aceb142,"28th Precinct, Domestic Violence Unit, New York City Police Department","28th Precinct, Domestic Violence Unit, New York City Police Department",2271 8 Avenue,Manhattan,10027,Yes,1-212-678-1628,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Manhattan,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.808418,-73.952465,10,9,257,1059240,1019490029,Central Harlem South
c2013cd3-9bf8-4ebd-a8fd-72e84d655fb2,"32nd Precinct, Domestic Violence Unit, New York City Police Department","32nd Precinct, Domestic Violence Unit, New York City Police Department",250 West 135 Street,Manhattan,10030,Yes,1-212-690-6346,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Manhattan,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.815922,-73.945191,10,9,228,1075467,1019400048,Central Harlem North-Polo Grounds
4af7ac7b-6ef7-4d68-9d9c-65c84ce852f7,"49th Precinct, Domestic Violence Unit, New York City Police Department","49th Precinct, Domestic Violence Unit, New York City Police Department",2121 Eastchester Road,Bronx,10461,Yes,1-718-918-2030,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Bronx,Yes,English,Wolof,,,,2,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.856047,-73.843944,11,13,296,2097543,2042050001,Pelham Parkway
35b402f8-c328-4c04-a099-48d39a11d405,"5th Precinct, Domestic Violence Unit, New York City Police Department","5th Precinct, Domestic Violence Unit, New York City Police Department",19 Elizabeth Street,Manhattan,10013,Yes,1-212-334-0738,,,https://www1.nyc.gov/site/nypd/index.page,,,,24/7,,Manhattan,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Teenagers;Other,Survivors of All Crime,General Domestic Violence Services;Elder Abuse Services;Sexual Assault Services;Services for Stalking Survivors;Teen Dating Survivor Services;Trafficking Victim Services,,40.716004,-73.997331,3,1,29,1066496,1002010020,Chinatown
2d7799bf-07a7-4aa7-b108-3f7b6505dd2a,"60th Precinct, Domestic Violence Unit, New York City Police Department","60th Precinct, Domestic Violence Unit, New York City Police Department",2951 West 8 Street,Brooklyn,11224,Yes,1-718-946-3362,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Brooklyn,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.576215,-73.976522,13,48,354,3196591,3072790290,West Brighton
0e011e9f-28b2-40dc-91ba-2f85ceaeebd4,"67th Precinct, Domestic Violence Unit, New York City Police Department","67th Precinct, Domestic Violence Unit, New York City Police Department",2820 Snyder Avenue,Brooklyn,11226,Yes,1-718-287-3252,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Brooklyn,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.648843,-73.951015,17,40,824,3117400,3051110024,Erasmus
2f57f056-cc5f-4e26-aacf-e96a2d9ea173,"68th Precinct, Domestic Violence Unit, New York City Police Department","68th Precinct, Domestic Violence Unit, New York City Police Department",333 65 Street,Brooklyn,11220,Yes,1-718-439-4217,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Brooklyn,Yes,English,Arabic,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.638827,-74.022721,10,38,70,3144156,3058170055,Bay Ridge
3e3b9c3c-c3e0-42f8-87bb-39d41c3acee8,"69th Precinct, Domestic Violence Unit, New York City Police Department","69th Precinct, Domestic Violence Unit, New York City Police Department",9270 Foster Avenue,Brooklyn,11236,Yes,1-718-257-6210,,,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts-landing.page,,,,24/7,,Brooklyn,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Other,Survivors of All Crime,,,40.646026,-73.909238,18,46,962,,,Canarsie
4d80c52a-de6b-47fa-ac27-314b06694ac4,"6th Precinct, Domestic Violence Unit, New York City Police Department","6th Precinct, Domestic Violence Unit, New York City Police Department",233 West 10 Street,Manhattan,10014,Yes,1-212-741-4800,,,https://www1.nyc.gov/site/nypd/index.page,,,,24/7,,Manhattan,Yes,English,Language Line Service,,,,1,Yes,No,Survivors of Sexual Assault and DV;Trafficking Survivors;Elder Abuse Survivors;Stalking Survivors;Survivors of Teen Dating Violence;Teenagers;Other,Survivors of All Crime,General Domestic Violence Services;Elder Abuse Services;Sexual Assault Services;Services for Stalking Survivors;Teen Dating Survivor Services;Trafficking Victim Services,,40.733889,-74.005394,2,3,73,1011192,1006200033,West Village
